x,y,indicator
-74.798294,40.110558,1
-75.012093,39.779118,1
-74.119057,40.179951,1
-74.616417,39.438179,1
-74.411011,40.912907,1
-74.217995,40.01461,1
-74.268387,41.142433,1
-74.072739,40.895947,1
-74.766991,40.502636,1
-74.0793,40.840469,1
-75.012764,39.485565,1
-74.804939,39.122765,1
-74.59494,40.069126,1
-74.725937,40.875668,1
-74.54586,40.365692,1
-74.492531,40.073818,1
-74.520195,40.0714,1
-74.456848,40.09108,1
-74.507416,40.103474,1
-74.481705,40.084393,1
-74.240891,40.389168,1
-74.137085,40.943943,1
-74.507881,40.90427,1
-74.188126,39.938816,1
-74.543434,40.88776,1
-74.512421,40.683807,1
-74.638435,40.400642,1
-74.639679,40.409206,1
-74.227196,40.781609,1
-74.611572,39.472187,1
-74.933609,40.595158,1
-74.47419,40.987328,1
-74.322113,40.43771,1
,,1
-74.197693,40.698605,1
-74.732361,39.869617,1
-74.718445,39.810413,1
-75.060287,40.487068,1
-74.940262,39.842625,1
-75.185242,39.515308,1
-74.950951,39.521229,1
-74.526062,39.502796,1
-74.541832,39.503071,1
-74.989517,40.015507,1
-74.213089,40.788204,1
-74.222603,40.831402,1
-75.067093,39.948418,1
-74.100151,40.853886,1
-74.980515,40.797253,1
-74.616333,40.399689,1
-74.413292,40.577465,1
-74.318939,40.484833,1
-74.990166,39.625275,1
,,1
-74.200508,40.144768,1
-75.026054,39.47897,1
-74.739456,40.23653,1
,,1
,,1
-74.102531,40.872719,1
-74.702049,40.929466,1
-74.158813,40.766499,1
-74.062767,40.135456,1
-74.398788,40.560295,1
,,1
-106.7585,32.314789,1
-107.84496,35.156116,1
-106.89997,34.100349,1
-105.49799,36.694263,1
-107.87155,35.157513,1
-108.60653,35.533966,1
,,1
-106.91875,34.161098,1
-108.08593,35.36454,1
-106.65531,35.042271,1
-106.64661,35.048759,1
-105.95596,33.719299,1
-106.72581,34.799351,1
,,1
-108.03893,32.995605,1
,,1
-106.08018,35.99332,1
-119.20155,38.991493,1
,,1
-73.658226,40.737335,1
-73.559113,40.753445,1
-78.763397,42.227821,1
,,1
-74.016174,41.498737,1
-76.85218,42.725101,1
-75.411461,43.218239,1
-73.441154,44.657421,1
-72.881226,40.866459,1
-73.902596,40.692345,1
-73.446335,40.725235,1
-73.507034,40.797272,1
-74.24131,41.467434,1
-74.166641,41.134571,1
-76.401283,43.250069,1
-76.482094,43.468548,1
-74.589371,44.820934,1
-78.436424,43.216358,1
-73.57106,42.559963,1
-73.64447,40.85894,1
-78.90078,43.073559,1
-78.948097,43.080318,1
-77.844299,42.977325,1
-79.018745,43.082783,1
-73.651787,40.739239,1
-73.545921,40.765717,1
-73.316231,40.761398,1
-73.919601,40.772472,1
-73.074081,40.931011,1
-73.444923,40.761688,1
-73.677559,40.715195,1
-73.406967,40.753342,1
-73.947525,42.272144,1
-75.991638,42.10289,1
-73.506332,40.760262,1
-73.953773,41.416924,1
-74.685905,41.379429,1
-75.231064,42.964428,1
-73.733925,40.782696,1
-73.813881,42.692528,1
-73.7817,41.61137,1
-78.029068,43.223469,1
-73.405243,40.684258,1
-76.831421,42.145794,1
,,1
-73.24659,40.813339,1
-75.877396,42.674465,1
,,1
-78.945526,43.08445,1
,,1
-74.370842,43.011105,1
-78.705711,42.940197,1
-75.246567,42.264473,1
-78.24897,43.032963,1
-75.247757,42.25008,1
-75.78492,42.160107,1
-76.373314,43.374866,1
-73.626389,43.289536,1
-75.018837,41.593704,1
-78.432579,42.079472,1
-78.924431,42.455891,1
-73.451637,40.769016,1
-73.890099,41.799587,1
-73.766457,42.979946,1
-73.504814,41.858383,1
-75.405762,44.696598,1
-77.948204,42.114017,1
-73.646606,40.824486,1
-79.023445,42.389553,1
-76.421906,43.354717,1
-76.827942,42.142082,1
-79.036072,43.083069,1
-79.124168,42.586704,1
-89.397499,41.184978,1
-73.659782,40.829502,1
-73.772911,43.089897,1
-73.204941,40.789116,1
-72.40287,40.92252,1
-76.064972,42.083397,1
,,1
-76.000046,42.09692,1
-73.110764,40.783066,1
-75.59227,42.158272,1
-73.066788,40.77523,1
-73.424812,40.715572,1
-78.115501,43.128193,1
-76.078506,42.090824,1
-74.051712,41.689499,1
-73.668289,41.257484,1
-74.15377,41.112534,1
-73.909286,41.771126,1
-73.41893,40.750061,1
-75.828529,42.083729,1
-72.299606,40.986404,1
-75.193207,42.883953,1
